frac,arm,F1_mean,F1_sd,AUPRC_mean,AUPRC_sd,n_seeds
0.01,combined,0.5144,0.0551,0.5612,0.0575,4
0.01,mam_only,0.5880,0.1174,0.7272,0.0587,3
0.01,vicreg_only,0.5543,0.0350,0.6072,0.0389,3
0.01,from_scratch,0.0497,0.0398,0.4115,0.0414,4
0.01,deepsv,0.4345,0.0222,,,3
0.05,combined,0.6552,0.0347,0.7550,0.0225,4
0.05,mam_only,0.7626,0.0603,0.8827,0.0220,3
0.05,vicreg_only,0.6654,0.0365,0.7648,0.0361,3
0.05,from_scratch,0.7338,0.1071,0.8660,0.0671,4
0.05,deepsv,0.5908,0.0630,,,3
0.1,combined,0.8129,0.0072,0.8812,0.0061,4
0.1,mam_only,0.8300,0.0682,0.9350,0.0120,3
0.1,vicreg_only,0.7679,0.0285,0.8517,0.0257,3
0.1,from_scratch,0.7631,0.0883,0.8680,0.0594,4
0.1,deepsv,0.6619,0.0477,,,3
0.25,combined,0.8465,0.0641,0.9165,0.0601,4
0.25,mam_only,0.7979,0.0828,0.9491,0.0103,3
0.25,vicreg_only,0.8455,0.0742,0.9111,0.0554,3
0.25,from_scratch,0.8543,0.0552,0.9375,0.0404,4
0.25,deepsv,0.8340,0.0116,,,3
0.5,combined,0.9126,0.0142,0.9631,0.0054,4
0.5,mam_only,0.7987,0.1065,0.9267,0.0498,3
0.5,vicreg_only,0.9028,0.0110,0.9621,0.0003,3
0.5,from_scratch,0.9118,0.0216,0.9651,0.0113,4
0.5,deepsv,0.8559,0.0329,,,3
1.0,combined,0.9337,0.0038,0.9758,0.0011,4
1.0,mam_only,0.9154,0.0143,0.9749,0.0075,3
1.0,vicreg_only,0.8458,0.0635,0.9613,0.0123,3
1.0,from_scratch,0.9441,0.0031,0.9825,0.0003,4
1.0,deepsv,0.7070,0.1395,,,3
