frac,arm,in_dist_F1_mean,in_dist_F1_sd,CEU_F1_mean,CEU_F1_sd,gap_mean,n_seeds
0.01,pretrained,0.5416,0.0327,0.5179,0.0623,0.0237,3
0.05,pretrained,0.6599,0.0391,0.6376,0.0383,0.0223,3
0.1,pretrained,0.7618,0.0619,0.7265,0.0572,0.0353,3
0.25,pretrained,0.7956,0.1117,0.6887,0.1338,0.1069,3
0.5,pretrained,0.9031,0.0158,0.6793,0.0748,0.2238,3
1.0,pretrained,0.9317,0.0057,0.7839,0.0284,0.1479,3
0.01,scratch,0.1053,0.1100,0.1792,0.1847,-0.0738,3
0.05,scratch,0.7620,0.0099,0.5959,0.0756,0.1661,3
0.1,scratch,0.7024,0.0228,0.5417,0.0522,0.1607,3
0.25,scratch,0.8286,0.0334,0.6251,0.0568,0.2036,3
0.5,scratch,0.9149,0.0359,0.8344,0.0305,0.0806,3
1.0,scratch,0.8664,0.0508,0.7421,0.0223,0.1243,3
