label_frac,rule,site,t,p_raw,p_holm,survives_holm_0.05,leader
0.01,f1_at_half,in_dist,6.0503,0.015509,0.527314,False,pretrained
0.01,f1_at_half,xpop,5.1728,0.010627,0.37194,False,pretrained
0.01,f1_at_tau,in_dist,0.7113,0.52886,1.0,False,pretrained
0.01,f1_at_tau,xpop,1.9336,0.138724,1.0,False,pretrained
0.01,auprc,in_dist,1.0819,0.353437,1.0,False,pretrained
0.01,auprc,xpop,2.6683,0.077232,1.0,False,pretrained
0.05,f1_at_half,in_dist,-1.2595,0.30847,1.0,False,scratch
0.05,f1_at_half,xpop,1.0918,0.347993,1.0,False,pretrained
0.05,f1_at_tau,in_dist,-1.44,0.272663,1.0,False,scratch
0.05,f1_at_tau,xpop,2.1238,0.102629,1.0,False,pretrained
0.05,auprc,in_dist,-2.2745,0.128029,1.0,False,scratch
0.05,auprc,xpop,0.4904,0.6603,1.0,False,pretrained
0.1,f1_at_half,in_dist,-2.1964,0.148474,1.0,False,scratch
0.1,f1_at_half,xpop,0.791,0.500187,1.0,False,pretrained
0.1,f1_at_tau,in_dist,-3.2918,0.05991,1.0,False,scratch
0.1,f1_at_tau,xpop,0.291,0.78574,1.0,False,pretrained
0.1,auprc,in_dist,-3.6695,0.030675,0.981597,False,scratch
0.1,auprc,xpop,-1.5903,0.193145,1.0,False,scratch
0.25,f1_at_half,in_dist,0.1355,0.903396,1.0,False,pretrained
0.25,f1_at_half,xpop,0.0504,0.962681,1.0,False,pretrained
0.25,f1_at_tau,in_dist,-5.5789,0.018168,0.599544,False,scratch
0.25,f1_at_tau,xpop,-0.88,0.444184,1.0,False,scratch
0.25,auprc,in_dist,-4.6892,0.009406,0.338625,False,scratch
0.25,auprc,xpop,-2.0188,0.147007,1.0,False,scratch
0.5,f1_at_half,in_dist,-0.296,0.786057,1.0,False,scratch
0.5,f1_at_half,xpop,-0.2315,0.832443,1.0,False,scratch
0.5,f1_at_tau,in_dist,-0.2852,0.790741,1.0,False,scratch
0.5,f1_at_tau,xpop,0.3017,0.780845,1.0,False,pretrained
0.5,auprc,in_dist,-0.2993,0.788185,1.0,False,scratch
0.5,auprc,xpop,-0.3527,0.748089,1.0,False,scratch
1.0,f1_at_half,in_dist,1.059,0.387971,1.0,False,pretrained
1.0,f1_at_half,xpop,-0.4486,0.682517,1.0,False,scratch
1.0,f1_at_tau,in_dist,1.2214,0.334732,1.0,False,pretrained
1.0,f1_at_tau,xpop,-0.9527,0.397566,1.0,False,scratch
1.0,auprc,in_dist,1.1325,0.372905,1.0,False,pretrained
1.0,auprc,xpop,-1.1999,0.29973,1.0,False,scratch
