benchmark,label_frac,n_seeds,n_labelled,gbt_auprc_mean,gbt_auprc_sd,gbt_f1_at_tau_mean,gbt_f1_at_tau_sd,logreg_auprc_mean,logreg_auprc_sd,chance_auprc
uniform,0.01,10,210,0.9368,0.0088,0.8717,0.0206,0.9201,0.0117,0.2500
uniform,0.05,10,1051,0.9577,0.0063,0.9129,0.0051,0.9093,0.0418,0.2500
uniform,0.1,10,2102,0.9665,0.0039,0.9215,0.0067,0.9181,0.0139,0.2500
uniform,0.25,10,5254,0.9714,0.0017,0.9268,0.0036,0.9261,0.0049,0.2500
uniform,0.5,10,10508,0.9743,0.0022,0.9333,0.0020,0.9269,0.0019,0.2500
uniform,1.0,10,21016,0.9749,0.0013,0.9382,0.0013,0.9270,0.0012,0.2500
candidate-filtered,0.01,10,35,0.2500,0.0000,0.4000,0.0000,0.4332,0.0833,0.2500
candidate-filtered,0.05,10,173,0.6257,0.0542,0.5741,0.0391,0.5962,0.0246,0.2500
candidate-filtered,0.1,10,345,0.7185,0.0288,0.6308,0.0352,0.6153,0.0263,0.2500
candidate-filtered,0.25,10,863,0.8028,0.0131,0.7120,0.0248,0.6239,0.0158,0.2500
candidate-filtered,0.5,10,1726,0.8454,0.0123,0.7625,0.0148,0.6295,0.0073,0.2500
candidate-filtered,1.0,10,3452,0.8688,0.0059,0.7876,0.0101,0.6310,0.0052,0.2500
