benchmark,model,label_frac,n_labelled,n_seeds,auprc_mean,auprc_sd,roc_auc_mean,roc_auc_sd,f1_at_tau_mean,f1_at_tau_sd,f1_at_half_mean,f1_at_half_sd,chance_auprc
uniform,Classical-GBT,0.01,210,10,0.9368,0.0088,0.9691,0.0057,0.8717,0.0206,0.8848,0.0118,0.25
uniform,Classical-GBT,0.05,1051,10,0.9577,0.0063,0.9796,0.0022,0.9129,0.0051,0.9181,0.0047,0.25
uniform,Classical-GBT,0.1,2102,10,0.9665,0.0039,0.9834,0.0022,0.9215,0.0067,0.925,0.0039,0.25
uniform,Classical-GBT,0.25,5254,10,0.9714,0.0017,0.9855,0.001,0.9268,0.0036,0.9293,0.0018,0.25
uniform,Classical-GBT,0.5,10508,10,0.9743,0.0022,0.9872,0.0009,0.9333,0.002,0.9345,0.0021,0.25
uniform,Classical-GBT,1.0,21016,10,0.9749,0.0013,0.9881,0.0004,0.9382,0.0013,0.9386,0.0015,0.25
uniform,Classical-logreg,0.01,210,10,0.9201,0.0117,0.9605,0.004,0.8688,0.017,0.8657,0.0185,0.25
uniform,Classical-logreg,0.05,1051,10,0.9093,0.0418,0.9573,0.0171,0.8552,0.0509,0.8468,0.0524,0.25
uniform,Classical-logreg,0.1,2102,10,0.9181,0.0139,0.9637,0.0054,0.8736,0.0213,0.8604,0.0182,0.25
uniform,Classical-logreg,0.25,5254,10,0.9261,0.0049,0.9663,0.0009,0.8869,0.0066,0.8707,0.0071,0.25
uniform,Classical-logreg,0.5,10508,10,0.9269,0.0019,0.9664,0.0006,0.8877,0.0044,0.8723,0.0026,0.25
uniform,Classical-logreg,1.0,21016,10,0.927,0.0012,0.9667,0.0003,0.8898,0.0025,0.8725,0.0018,0.25
candidate-filtered,Classical-GBT,0.01,35,10,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25
candidate-filtered,Classical-GBT,0.05,173,10,0.6257,0.0542,0.8241,0.0278,0.5741,0.0391,0.5658,0.0693,0.25
candidate-filtered,Classical-GBT,0.1,345,10,0.7185,0.0288,0.8645,0.0175,0.6308,0.0352,0.6253,0.0457,0.25
candidate-filtered,Classical-GBT,0.25,863,10,0.8028,0.0131,0.9089,0.0076,0.712,0.0248,0.7099,0.0172,0.25
candidate-filtered,Classical-GBT,0.5,1726,10,0.8454,0.0123,0.9277,0.0048,0.7625,0.0148,0.7558,0.0183,0.25
candidate-filtered,Classical-GBT,1.0,3452,10,0.8688,0.0059,0.9417,0.0024,0.7876,0.0101,0.773,0.0097,0.25
candidate-filtered,Classical-logreg,0.01,35,10,0.4765,0.0757,0.7169,0.0618,0.4951,0.0499,0.4951,0.0499,0.25
candidate-filtered,Classical-logreg,0.05,173,10,0.5962,0.0246,0.8064,0.0254,0.5463,0.0696,0.5821,0.0354,0.25
candidate-filtered,Classical-logreg,0.1,345,10,0.6153,0.0263,0.8219,0.0148,0.5576,0.07,0.5948,0.0236,0.25
candidate-filtered,Classical-logreg,0.25,863,10,0.6239,0.0158,0.8271,0.0097,0.5768,0.0189,0.5974,0.0134,0.25
candidate-filtered,Classical-logreg,0.5,1726,10,0.6295,0.0073,0.8303,0.005,0.5753,0.0147,0.6033,0.0139,0.25
candidate-filtered,Classical-logreg,1.0,3452,10,0.631,0.0052,0.831,0.0029,0.5744,0.0114,0.604,0.0075,0.25
