benchmark,arm,label_frac,n_labelled,n_seeds,f1_at_tau_mean,f1_at_tau_sd,f1_at_half_mean,f1_at_half_sd,auprc_mean,auprc_sd,roc_auc_mean,roc_auc_sd,tau_mean,pos_rate
uniform,AlignSSL-pretrained,0.01,210,3,0.4832,0.0549,0.478,0.1003,0.5241,0.0525,0.7404,0.0453,0.175,0.25
uniform,AlignSSL-pretrained,0.05,1051,3,0.6126,0.0534,0.5755,0.0499,0.6948,0.0498,0.8313,0.0453,0.242,0.25
uniform,AlignSSL-pretrained,0.1,2102,3,0.7514,0.0314,0.7396,0.0382,0.8245,0.0602,0.9195,0.0196,0.473,0.25
uniform,AlignSSL-pretrained,0.25,5254,3,0.8499,0.0613,0.8144,0.1065,0.9026,0.0615,0.9591,0.0223,0.555,0.25
uniform,AlignSSL-pretrained,0.5,10508,3,0.8861,0.0382,0.8873,0.0319,0.9453,0.0213,0.9768,0.0114,0.488,0.25
uniform,AlignSSL-pretrained,1.0,21016,3,0.9038,0.042,0.8876,0.0531,0.9615,0.0177,0.9824,0.0076,0.486,0.25
uniform,AlignSSL-scratch,0.01,210,3,0.4131,0.1128,0.0439,0.041,0.4269,0.1378,0.6559,0.1115,0.096,0.25
uniform,AlignSSL-scratch,0.05,1051,3,0.7966,0.011,0.7138,0.0939,0.8664,0.0217,0.945,0.0076,0.441,0.25
uniform,AlignSSL-scratch,0.1,2102,3,0.8518,0.0547,0.8175,0.0807,0.9125,0.0296,0.9568,0.0256,0.324,0.25
uniform,AlignSSL-scratch,0.25,5254,3,0.8769,0.0491,0.8029,0.1289,0.9365,0.0233,0.9757,0.0079,0.386,0.25
uniform,AlignSSL-scratch,0.5,10508,3,0.93,0.0039,0.9302,0.0059,0.974,0.0006,0.9879,0.0001,0.518,0.25
uniform,AlignSSL-scratch,1.0,21016,3,0.9354,0.0034,0.9205,0.0265,0.9792,0.001,0.99,0.0007,0.377,0.25
uniform,DeepSV-representation,0.01,210,3,0.4791,0.0455,0.4794,0.0348,0.4877,0.0326,0.7404,0.0228,0.539,0.25
uniform,DeepSV-representation,0.05,1051,3,0.5908,0.0757,0.4771,0.107,0.6383,0.0706,0.8114,0.0407,0.363,0.25
uniform,DeepSV-representation,0.1,2102,3,0.6646,0.0593,0.5809,0.0782,0.7141,0.0512,0.8552,0.0232,0.441,0.25
uniform,DeepSV-representation,0.25,5254,3,0.7154,0.1764,0.6724,0.1799,0.7841,0.1467,0.8931,0.0729,0.598,0.25
uniform,DeepSV-representation,0.5,10508,3,0.8595,0.0202,0.7701,0.1149,0.9095,0.0191,0.9597,0.0045,0.589,0.25
uniform,DeepSV-representation,1.0,21016,3,0.8342,0.0641,0.7024,0.1362,0.9105,0.039,0.9584,0.0164,0.515,0.25
uniform,Classical-logreg,0.01,210,10,0.8688,0.017,0.8657,0.0185,0.9201,0.0117,0.9605,0.004,0.619,0.25
uniform,Classical-logreg,0.05,1051,10,0.8552,0.0509,0.8468,0.0524,0.9093,0.0418,0.9573,0.0171,0.65,0.25
uniform,Classical-logreg,0.1,2102,10,0.8736,0.0213,0.8604,0.0182,0.9181,0.0139,0.9637,0.0054,0.614,0.25
uniform,Classical-logreg,0.25,5254,10,0.8869,0.0066,0.8707,0.0071,0.9261,0.0049,0.9663,0.0009,0.652,0.25
uniform,Classical-logreg,0.5,10508,10,0.8877,0.0044,0.8723,0.0026,0.9269,0.0019,0.9664,0.0006,0.629,0.25
uniform,Classical-logreg,1.0,21016,10,0.8898,0.0025,0.8725,0.0018,0.927,0.0012,0.9667,0.0003,0.647,0.25
uniform,Classical-GBT,0.01,210,10,0.8717,0.0206,0.8848,0.0118,0.9368,0.0088,0.9691,0.0057,0.449,0.25
uniform,Classical-GBT,0.05,1051,10,0.9129,0.0051,0.9181,0.0047,0.9577,0.0063,0.9796,0.0022,0.239,0.25
uniform,Classical-GBT,0.1,2102,10,0.9215,0.0067,0.925,0.0039,0.9665,0.0039,0.9834,0.0022,0.344,0.25
uniform,Classical-GBT,0.25,5254,10,0.9268,0.0036,0.9293,0.0018,0.9714,0.0017,0.9855,0.001,0.338,0.25
uniform,Classical-GBT,0.5,10508,10,0.9333,0.002,0.9345,0.0021,0.9743,0.0022,0.9872,0.0009,0.449,0.25
uniform,Classical-GBT,1.0,21016,10,0.9382,0.0013,0.9386,0.0015,0.9749,0.0013,0.9881,0.0004,0.467,0.25
candidate-filtered,AlignSSL-pretrained,0.01,35,3,0.2405,0.1036,0.2405,0.1036,0.3023,0.0533,0.5634,0.0646,0.5,0.25
candidate-filtered,AlignSSL-pretrained,0.05,173,3,0.3879,0.13,0.286,0.2046,0.3683,0.072,0.6459,0.0684,0.103,0.25
candidate-filtered,AlignSSL-pretrained,0.1,345,3,0.4139,0.095,0.4509,0.1066,0.4462,0.0242,0.7157,0.0399,0.594,0.25
candidate-filtered,AlignSSL-pretrained,0.25,863,3,0.58,0.0245,0.5271,0.0564,0.6494,0.0238,0.829,0.0094,0.309,0.25
candidate-filtered,AlignSSL-pretrained,0.5,1726,3,0.6484,0.0369,0.599,0.0624,0.722,0.0103,0.8635,0.0149,0.541,0.25
candidate-filtered,AlignSSL-pretrained,1.0,3452,3,0.7719,0.0404,0.7184,0.0953,0.8438,0.0317,0.9277,0.0219,0.311,0.25
candidate-filtered,AlignSSL-scratch,0.01,35,3,0.0084,0.0145,0.0084,0.0145,0.2833,0.046,0.5746,0.0803,0.5,0.25
candidate-filtered,AlignSSL-scratch,0.05,173,3,0.4297,0.0272,0.0487,0.0455,0.3593,0.0948,0.6204,0.0831,0.121,0.25
candidate-filtered,AlignSSL-scratch,0.1,345,3,0.5005,0.067,0.2074,0.1527,0.5096,0.1401,0.7315,0.0918,0.275,0.25
candidate-filtered,AlignSSL-scratch,0.25,863,3,0.6434,0.0515,0.5444,0.1031,0.7342,0.0645,0.8724,0.0186,0.42,0.25
candidate-filtered,AlignSSL-scratch,0.5,1726,3,0.6649,0.0407,0.6322,0.075,0.763,0.0626,0.8896,0.0243,0.506,0.25
candidate-filtered,AlignSSL-scratch,1.0,3452,3,0.8144,0.026,0.7954,0.0584,0.8849,0.0217,0.9424,0.008,0.407,0.25
candidate-filtered,DeepSV-representation,0.01,35,3,0.1711,0.1322,0.1711,0.1322,0.3297,0.0253,0.5934,0.0435,0.5,0.25
candidate-filtered,DeepSV-representation,0.05,173,3,0.3803,0.0801,0.4156,0.0332,0.411,0.0358,0.6638,0.0376,0.518,0.25
candidate-filtered,DeepSV-representation,0.1,345,3,0.4134,0.0098,0.3505,0.1995,0.4188,0.0181,0.6663,0.018,0.497,0.25
candidate-filtered,DeepSV-representation,0.25,863,3,0.4763,0.0559,0.2419,0.1465,0.5108,0.0433,0.7226,0.0473,0.351,0.25
candidate-filtered,DeepSV-representation,0.5,1726,3,0.5014,0.0221,0.3615,0.1119,0.5376,0.0397,0.7341,0.0335,0.411,0.25
candidate-filtered,DeepSV-representation,1.0,3452,3,0.6144,0.0174,0.3711,0.0485,0.6562,0.0094,0.8223,0.0184,0.328,0.25
candidate-filtered,Classical-logreg,0.01,35,10,0.4951,0.0499,0.4951,0.0499,0.4765,0.0757,0.7169,0.0618,0.5,0.25
candidate-filtered,Classical-logreg,0.05,173,10,0.5463,0.0696,0.5821,0.0354,0.5962,0.0246,0.8064,0.0254,0.605,0.25
candidate-filtered,Classical-logreg,0.1,345,10,0.5576,0.07,0.5948,0.0236,0.6153,0.0263,0.8219,0.0148,0.563,0.25
candidate-filtered,Classical-logreg,0.25,863,10,0.5768,0.0189,0.5974,0.0134,0.6239,0.0158,0.8271,0.0097,0.564,0.25
candidate-filtered,Classical-logreg,0.5,1726,10,0.5753,0.0147,0.6033,0.0139,0.6295,0.0073,0.8303,0.005,0.596,0.25
candidate-filtered,Classical-logreg,1.0,3452,10,0.5744,0.0114,0.604,0.0075,0.631,0.0052,0.831,0.0029,0.605,0.25
candidate-filtered,Classical-GBT,0.01,35,10,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.5,0.25
candidate-filtered,Classical-GBT,0.05,173,10,0.5741,0.0391,0.5658,0.0693,0.6257,0.0542,0.8241,0.0278,0.376,0.25
candidate-filtered,Classical-GBT,0.1,345,10,0.6308,0.0352,0.6253,0.0457,0.7185,0.0288,0.8645,0.0175,0.281,0.25
candidate-filtered,Classical-GBT,0.25,863,10,0.712,0.0248,0.7099,0.0172,0.8028,0.0131,0.9089,0.0076,0.409,0.25
candidate-filtered,Classical-GBT,0.5,1726,10,0.7625,0.0148,0.7558,0.0183,0.8454,0.0123,0.9277,0.0048,0.393,0.25
candidate-filtered,Classical-GBT,1.0,3452,10,0.7876,0.0101,0.773,0.0097,0.8688,0.0059,0.9417,0.0024,0.37,0.25
