benchmark,label_frac,n_labelled,AlignSSL-pretrained_F1@0.5,AlignSSL-pretrained_F1@tau,AlignSSL-pretrained_AUPRC,AlignSSL-scratch_F1@0.5,AlignSSL-scratch_F1@tau,AlignSSL-scratch_AUPRC,ratio_F1@0.5,p_F1@0.5,ratio_F1@tau,p_F1@tau,ratio_AUPRC,p_AUPRC
uniform,0.01,210,0.478,0.4832,0.5241,0.0439,0.4131,0.4269,10.888,0.0091,1.17,0.407,1.228,0.3485
uniform,0.05,1051,0.5755,0.6126,0.6948,0.7138,0.7966,0.8664,0.806,0.1083,0.769,0.0232,0.802,0.0153
uniform,0.1,2102,0.7396,0.7514,0.8245,0.8175,0.8518,0.9125,0.905,0.2321,0.882,0.0655,0.904,0.1103
uniform,0.25,5254,0.8144,0.8499,0.9026,0.8029,0.8769,0.9365,1.014,0.9112,0.969,0.5843,0.964,0.4473
uniform,0.5,10508,0.8873,0.8861,0.9453,0.9302,0.93,0.974,0.954,0.1404,0.953,0.1842,0.971,0.1448
uniform,1.0,21016,0.8876,0.9038,0.9615,0.9205,0.9354,0.9792,0.964,0.4095,0.966,0.3218,0.982,0.2262
candidate-filtered,0.01,35,0.2405,0.2405,0.3023,0.0084,0.0084,0.2833,28.631,0.0579,28.631,0.0579,1.067,0.6659
candidate-filtered,0.05,173,0.286,0.3879,0.3683,0.0487,0.4297,0.3593,5.873,0.1773,0.903,0.6368,1.025,0.9027
candidate-filtered,0.1,345,0.4509,0.4139,0.4462,0.2074,0.5005,0.5096,2.174,0.0941,0.827,0.2735,0.876,0.5167
candidate-filtered,0.25,863,0.5271,0.58,0.6494,0.5444,0.6434,0.7342,0.968,0.8148,0.901,0.1543,0.885,0.1388
candidate-filtered,0.5,1726,0.599,0.6484,0.722,0.6322,0.6649,0.763,0.947,0.5886,0.975,0.6307,0.946,0.3745
candidate-filtered,1.0,3452,0.7184,0.7719,0.8438,0.7954,0.8144,0.8849,0.903,0.311,0.948,0.2121,0.954,0.1477
