arm,label_frac,n_seeds,auprc_mean,auprc_sd,auprc_seeds
AlignSSL-SAS-fusion (pretrained),0.01,4,0.4582,0.0238,0.4840;0.4440;0.4327;0.4719
AlignSSL-SAS-fusion (pretrained),0.05,4,0.6829,0.0546,0.7059;0.6094;0.7376;0.6786
AlignSSL-SAS-fusion (pretrained),0.1,4,0.6677,0.0370,0.6215;0.7120;0.6661;0.6712
AlignSSL-SAS-fusion (pretrained),0.25,4,0.8146,0.0306,0.8110;0.7777;0.8523;0.8176
AlignSSL-SAS-fusion (pretrained),0.5,4,0.8362,0.0036,0.8325;0.8367;0.8346;0.8410
AlignSSL-SAS-fusion (pretrained),1.0,4,0.9028,0.0323,0.9242;0.8552;0.9214;0.9104
AlignSSL-fusion (scratch),0.01,4,0.4181,0.1152,0.4814;0.3575;0.5436;0.2900
AlignSSL-fusion (scratch),0.05,4,0.4885,0.0968,0.5622;0.3503;0.5480;0.4936
AlignSSL-fusion (scratch),0.1,4,0.5183,0.0664,0.4532;0.6072;0.5267;0.4862
AlignSSL-fusion (scratch),0.25,4,0.8228,0.0395,0.8716;0.7826;0.8364;0.8005
AlignSSL-fusion (scratch),0.5,4,0.8179,0.0459,0.8666;0.7651;0.8440;0.7958
AlignSSL-fusion (scratch),1.0,4,0.8490,0.0699,0.9008;0.8569;0.8902;0.7480
Classical GBT (12 scalars),0.01,5,0.2500,0.0000,0.2500;0.2500;0.2500;0.2500;0.2500
Classical GBT (12 scalars),0.05,5,0.6400,0.0684,0.6021;0.5483;0.7012;0.6371;0.7114
Classical GBT (12 scalars),0.1,5,0.7073,0.0290,0.7204;0.7154;0.6806;0.7446;0.6753
Classical GBT (12 scalars),0.25,5,0.7972,0.0121,0.7862;0.7982;0.7996;0.8158;0.7864
Classical GBT (12 scalars),0.5,5,0.8427,0.0151,0.8218;0.8352;0.8579;0.8564;0.8420
Classical GBT (12 scalars),1.0,5,0.8700,0.0065,0.8706;0.8703;0.8789;0.8605;0.8698
Classical logistic regression (12 scalars),0.01,5,0.5083,0.0754,0.5155;0.3945;0.5300;0.4973;0.6040
Classical logistic regression (12 scalars),0.05,5,0.5903,0.0274,0.6076;0.5705;0.6302;0.5754;0.5680
Classical logistic regression (12 scalars),0.1,5,0.6042,0.0287,0.5890;0.5953;0.5721;0.6460;0.6187
Classical logistic regression (12 scalars),0.25,5,0.6244,0.0159,0.6032;0.6232;0.6157;0.6415;0.6383
Classical logistic regression (12 scalars),0.5,5,0.6308,0.0083,0.6292;0.6242;0.6382;0.6404;0.6218
Classical logistic regression (12 scalars),1.0,5,0.6312,0.0051,0.6380;0.6347;0.6299;0.6280;0.6254
DeepSV-representation (RGB pileup CNN),0.01,4,0.3271,0.0248,0.3262;0.3609;0.3016;0.3199
DeepSV-representation (RGB pileup CNN),0.05,4,0.4141,0.0388,0.4525;0.4357;0.3645;0.4038
DeepSV-representation (RGB pileup CNN),0.1,4,0.4095,0.0335,0.4576;0.3889;0.4069;0.3846
DeepSV-representation (RGB pileup CNN),0.25,4,0.4725,0.0635,0.4488;0.4853;0.4028;0.5531
DeepSV-representation (RGB pileup CNN),0.5,4,0.5299,0.0622,0.5545;0.4500;0.5969;0.5183
DeepSV-representation (RGB pileup CNN),1.0,4,0.5725,0.0519,0.6071;0.5025;0.5641;0.6161
