citation,year,doi,venue,theme,architecture,platform,sv_types,eligible,deep,reason
Poplin et al. 2018,2018,10.1038/nbt.4235,Nature Biotechnology,A,Inception-v2 CNN,Illumina short-read; extended to PacBio/ONT,"SNV, short indel",False,True,"target is SNV/short indel, not SV"
Cai et al. 2019,2019,10.1186/s12859-019-3299-y,BMC Bioinformatics,A,"Custom CNN (TensorFlow), 256x256 images",Illumina short-read (10x-60x),Long deletions (>50 bp),True,True,SV caller (filed Theme A); the paper this audit extends
Torracinta & Campagne 2016,2016,10.1101/097469,bioRxiv (preprint),A,Feedforward/CNN,Illumina,SNV genotype,False,True,"target is SNV/short indel, not SV"
Luo et al. 2018,2018,10.1101/310458,bioRxiv (preprint),A,Multi-task CNN,Illumina; PacBio; ONT,"SNV, indel",False,True,"target is SNV/short indel, not SV"
Luo et al. 2019,2019,10.1038/s41467-019-09025-z,Nature Communications,A,Multi-task CNN (Clairvoyante),"PacBio, ONT","SNV, indel",False,True,"target is SNV/short indel, not SV"
Zheng et al. 2022,2022,10.1038/s43588-022-00387-x,Nature Computational Science,A,Pyramid CNN (Clair3),"ONT, PacBio HiFi, Illumina","SNV, indel",False,True,"target is SNV/short indel, not SV"
Shafin et al. 2021,2021,10.1038/s41592-021-01299-w,Nature Methods,A,RNN (PEPPER) + CNN (DeepVariant) + Margin,ONT,"SNV, indel",False,True,"target is SNV/short indel, not SV"
Yun et al. 2020,2020,10.1093/bioinformatics/btaa1081,Bioinformatics,A,CNN + GLnexus joint genotyping,Illumina,"SNV, indel",False,True,"target is SNV/short indel, not SV"
Khazeeva et al. 2022,2022,10.1093/nar/gkac511,Nucleic Acids Research,A,CNN (DeNovoCNN),Illumina,De novo SNV/indel,False,True,"target is SNV/short indel, not SV"
Luo et al. 2023,2023,10.3389/fgene.2023.1189775,Frontiers in Genetics,B,CNN (LSnet),Illumina short-read,Deletions + genotyping,True,True,SV caller; trains a classifier on alignment-derived input
Yang et al. 2024,2024,10.3103/s0146411624700147,Automatic Control and Computer Sciences,B,ResNet + attention module,Illumina short-read,Deletions,True,True,SV caller; trains a classifier on alignment-derived input
Hu et al. 2022,2022,10.1016/j.ymeth.2022.08.001,Methods,B,Ensemble CNN,Illumina short-read,Large deletions,True,True,SV caller; trains a classifier on alignment-derived input
Santuari et al. 2024,2024,10.1101/2024.10.17.618894,bioRxiv (preprint),B,1-D CNN (sv-channels),Illumina short-read,Deletions,True,True,SV caller; trains a classifier on alignment-derived input
Hu et al. 2021,2021,10.1109/bibm52615.2021.9669571,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),B,Ensemble deep learning,10x linked-reads,Large deletions,True,False,SV caller; trains a classifier on alignment-derived input
Yu et al. 2023,2023,10.2174/1574893618666230224160716,Current Bioinformatics,B,ML/DL hybrid (MaxDEL),Long-read,Deletions,True,False,SV caller; trains a classifier on alignment-derived input
Linderman et al. 2024,2024,10.1093/bioinformatics/btae129,Bioinformatics,B,CNN (NPSV-deep),Illumina short-read,SV genotyping (DEL/INS),True,True,SV caller; trains a classifier on alignment-derived input
