label_frac,n_train,arm,n_seeds,F1_mean,F1_sd,P_mean,R_mean,AUPRC_mean,F1_per_seed
0.01,210,AlignSSL-combined,4,0.5144,0.0551,0.5659,0.4811,0.5612,0.5315;0.5081;0.5858;0.4324
0.05,1050,AlignSSL-combined,4,0.6552,0.0347,0.6970,0.6408,0.7550,0.6334;0.6695;0.7043;0.6135
0.1,2101,AlignSSL-combined,4,0.8129,0.0072,0.8293,0.7982,0.8812,0.8058;0.8142;0.8073;0.8241
0.25,5254,AlignSSL-combined,4,0.8465,0.0641,0.8230,0.8943,0.9165,0.8685;0.7391;0.8697;0.9086
0.5,10508,AlignSSL-combined,4,0.9126,0.0142,0.9079,0.9187,0.9631,0.9234;0.8971;0.9002;0.9299
1.0,21016,AlignSSL-combined,4,0.9337,0.0038,0.9529,0.9155,0.9758,0.9278;0.9348;0.9383;0.9338
0.01,210,AlignSSL-scratch,4,0.0497,0.0398,0.8039,0.0263,0.4115,0.0207;0.0035;0.1035;0.0711
0.05,1050,AlignSSL-scratch,4,0.7338,0.1071,0.7690,0.7727,0.8660,0.5592;0.8413;0.7394;0.7954
0.1,2101,AlignSSL-scratch,4,0.7631,0.0883,0.6724,0.9214,0.8680,0.8797;0.8136;0.7028;0.6562
0.25,5254,AlignSSL-scratch,4,0.8543,0.0552,0.8671,0.8574,0.9375,0.9069;0.7859;0.9102;0.8142
0.5,10508,AlignSSL-scratch,4,0.9118,0.0216,0.9291,0.8968,0.9651,0.9316;0.8799;0.9040;0.9319
1.0,21016,AlignSSL-scratch,4,0.9441,0.0031,0.9618,0.9273,0.9825,0.9440;0.9474;0.9457;0.9392
0.01,210,AlignSSL-MAM-only,3,0.5880,0.1174,0.6963,0.5917,0.7272,0.4221;0.6773;0.6646
0.05,1050,AlignSSL-MAM-only,3,0.7626,0.0603,0.8506,0.7142,0.8827,0.6884;0.7631;0.8362
0.1,2101,AlignSSL-MAM-only,3,0.8300,0.0682,0.9155,0.7785,0.9350,0.8811;0.8753;0.7336
0.25,5254,AlignSSL-MAM-only,3,0.7979,0.0828,0.7214,0.9337,0.9491,0.8981;0.6952;0.8004
0.5,10508,AlignSSL-MAM-only,3,0.7987,0.1065,0.7233,0.9368,0.9267,0.6683;0.9293;0.7984
1.0,21016,AlignSSL-MAM-only,3,0.9154,0.0143,0.9633,0.8727,0.9749,0.9007;0.9107;0.9348
0.01,210,AlignSSL-VICReg-only,3,0.5543,0.0350,0.4772,0.6923,0.6072,0.5227;0.6031;0.5372
0.05,1050,AlignSSL-VICReg-only,3,0.6654,0.0365,0.7026,0.6477,0.7648,0.6651;0.7103;0.6208
0.1,2101,AlignSSL-VICReg-only,3,0.7679,0.0285,0.7937,0.7442,0.8517,0.7533;0.8077;0.7427
0.25,5254,AlignSSL-VICReg-only,3,0.8455,0.0742,0.7853,0.9334,0.9111,0.9044;0.7408;0.8912
0.5,10508,AlignSSL-VICReg-only,3,0.9028,0.0110,0.9091,0.8998,0.9621,0.9179;0.8987;0.8918
1.0,21016,AlignSSL-VICReg-only,3,0.8458,0.0635,0.7648,0.9582,0.9613,0.7894;0.8135;0.9346
0.01,210,DeepSV-representation,3,0.4345,0.0222,0.4104,0.6178,,0.4651;0.4252;0.4132
0.05,1050,DeepSV-representation,3,0.5908,0.0630,0.6340,0.6275,,0.5152;0.6695;0.5878
0.1,2101,DeepSV-representation,3,0.6619,0.0477,0.6724,0.6768,,0.6059;0.7224;0.6573
0.25,5254,DeepSV-representation,3,0.8340,0.0116,0.8887,0.7889,,0.8235;0.8285;0.8501
0.5,10508,DeepSV-representation,3,0.8559,0.0329,0.9226,0.8043,,0.8780;0.8094;0.8802
1.0,21016,DeepSV-representation,3,0.7070,0.1395,0.6491,0.8991,,0.7711;0.5134;0.8366
0.01,210,Classical-logreg,3,0.8766,0.0082,0.8373,0.9208,0.9186,0.8880;0.8694;0.8724
0.05,1050,Classical-logreg,3,0.8778,0.0061,0.8357,0.9246,0.9285,0.8834;0.8693;0.8808
0.1,2101,Classical-logreg,3,0.8693,0.0030,0.8165,0.9294,0.9237,0.8656;0.8692;0.8731
0.25,5254,Classical-logreg,3,0.8661,0.0045,0.8111,0.9291,0.9235,0.8598;0.8701;0.8683
0.5,10508,Classical-logreg,3,0.8717,0.0010,0.8223,0.9274,0.9258,0.8705;0.8730;0.8716
1.0,21016,Classical-logreg,3,0.8712,0.0000,0.8218,0.9269,0.9264,0.8712;0.8712;0.8712
0.01,210,Classical-GBT,3,0.8942,0.0022,0.9272,0.8636,0.9302,0.8913;0.8964;0.8950
0.05,1050,Classical-GBT,3,0.9167,0.0051,0.9257,0.9081,0.9570,0.9238;0.9121;0.9143
0.1,2101,Classical-GBT,3,0.9243,0.0004,0.9314,0.9174,0.9660,0.9248;0.9242;0.9239
0.25,5254,Classical-GBT,3,0.9315,0.0004,0.9369,0.9261,0.9706,0.9310;0.9320;0.9314
0.5,10508,Classical-GBT,3,0.9372,0.0013,0.9446,0.9298,0.9735,0.9363;0.9391;0.9361
1.0,21016,Classical-GBT,3,0.9387,0.0007,0.9453,0.9321,0.9754,0.9388;0.9378;0.9395
