benchmark,metric,arm,label_frac,n_labelled,n_seeds,mean_a,mean_b,diff,diff_sd,t,p,mde80,ci_lo,ci_hi,p_holm,verdict
uniform,auprc,AlignSSL-pretrained,0.01,210,3,0.5241,0.4877,0.0364,0.0208,3.034,0.09362,0.0644,-0.0152,0.0881,0.7468,not separated
uniform,auprc,AlignSSL-pretrained,0.05,1051,3,0.6948,0.6383,0.0566,0.0612,1.6,0.2508,0.1897,-0.0956,0.2087,1.0,not separated
uniform,auprc,AlignSSL-pretrained,0.1,2102,3,0.8245,0.7141,0.1104,0.0108,17.75,0.003159,0.0334,0.0837,0.1372,0.03791,AlignSSL better
uniform,auprc,AlignSSL-pretrained,0.25,5254,3,0.9026,0.7841,0.1185,0.1812,1.133,0.3749,0.561,-0.3316,0.5686,1.0,not separated
uniform,auprc,AlignSSL-pretrained,0.5,10508,3,0.9453,0.9095,0.0358,0.0204,3.037,0.09347,0.0633,-0.0149,0.0866,0.7468,not separated
uniform,auprc,AlignSSL-pretrained,1.0,21016,3,0.9615,0.9105,0.051,0.0522,1.693,0.2325,0.1615,-0.0786,0.1806,1.0,not separated
uniform,auprc,AlignSSL-scratch,0.01,210,3,0.4269,0.4877,-0.0609,0.123,-0.8568,0.4818,0.3809,-0.3664,0.2447,1.0,not separated
uniform,auprc,AlignSSL-scratch,0.05,1051,3,0.8664,0.6383,0.2281,0.0797,4.957,0.03837,0.2468,0.0301,0.4261,0.3453,not separated
uniform,auprc,AlignSSL-scratch,0.1,2102,3,0.9125,0.7141,0.1985,0.0225,15.31,0.004241,0.0695,0.1427,0.2543,0.04665,AlignSSL better
uniform,auprc,AlignSSL-scratch,0.25,5254,3,0.9365,0.7841,0.1524,0.1565,1.687,0.2337,0.4847,-0.2365,0.5413,1.0,not separated
uniform,auprc,AlignSSL-scratch,0.5,10508,3,0.974,0.9095,0.0645,0.0197,5.68,0.02962,0.0609,0.0156,0.1134,0.2962,not separated
uniform,auprc,AlignSSL-scratch,1.0,21016,3,0.9792,0.9105,0.0687,0.0391,3.039,0.09335,0.1212,-0.0285,0.1659,0.7468,not separated
uniform,roc_auc,AlignSSL-pretrained,0.01,210,3,0.7404,0.7404,-0.0,0.031,-6.391e-05,1.0,0.0961,-0.0771,0.0771,1.0,not separated
uniform,roc_auc,AlignSSL-pretrained,0.05,1051,3,0.8313,0.8114,0.0199,0.0253,1.366,0.3052,0.0783,-0.0429,0.0828,1.0,not separated
uniform,roc_auc,AlignSSL-pretrained,0.1,2102,3,0.9195,0.8552,0.0643,0.0227,4.906,0.03913,0.0703,0.0079,0.1206,0.3522,not separated
uniform,roc_auc,AlignSSL-pretrained,0.25,5254,3,0.9591,0.8931,0.066,0.0889,1.286,0.3272,0.2753,-0.1549,0.2869,1.0,not separated
uniform,roc_auc,AlignSSL-pretrained,0.5,10508,3,0.9768,0.9597,0.0171,0.0079,3.767,0.06381,0.0243,-0.0024,0.0366,0.5104,not separated
uniform,roc_auc,AlignSSL-pretrained,1.0,21016,3,0.9824,0.9584,0.024,0.0208,1.99,0.1848,0.0646,-0.0278,0.0758,1.0,not separated
uniform,roc_auc,AlignSSL-scratch,0.01,210,3,0.6559,0.7404,-0.0846,0.0902,-1.624,0.2459,0.2793,-0.3086,0.1395,1.0,not separated
uniform,roc_auc,AlignSSL-scratch,0.05,1051,3,0.945,0.8114,0.1336,0.0437,5.299,0.03382,0.1352,0.0251,0.2421,0.3382,not separated
uniform,roc_auc,AlignSSL-scratch,0.1,2102,3,0.9568,0.8552,0.1016,0.0229,7.681,0.01653,0.0709,0.0447,0.1585,0.1818,not separated
uniform,roc_auc,AlignSSL-scratch,0.25,5254,3,0.9757,0.8931,0.0826,0.0759,1.886,0.2,0.235,-0.1059,0.2711,1.0,not separated
uniform,roc_auc,AlignSSL-scratch,0.5,10508,3,0.9879,0.9597,0.0282,0.0045,10.97,0.008213,0.0138,0.0171,0.0392,0.09856,not separated
uniform,roc_auc,AlignSSL-scratch,1.0,21016,3,0.99,0.9584,0.0316,0.0159,3.434,0.07535,0.0494,-0.008,0.0712,0.5274,not separated
uniform,f1_at_tau,AlignSSL-pretrained,0.01,210,3,0.4832,0.4791,0.0041,0.0809,0.08701,0.9386,0.2505,-0.1969,0.2051,1.0,not separated
uniform,f1_at_tau,AlignSSL-pretrained,0.05,1051,3,0.6126,0.5908,0.0218,0.0775,0.4876,0.674,0.2399,-0.1707,0.2143,1.0,not separated
uniform,f1_at_tau,AlignSSL-pretrained,0.1,2102,3,0.7514,0.6646,0.0868,0.0281,5.358,0.03312,0.0869,0.0171,0.1564,0.3312,not separated
uniform,f1_at_tau,AlignSSL-pretrained,0.25,5254,3,0.8499,0.7154,0.1345,0.2023,1.151,0.3687,0.6264,-0.3681,0.637,1.0,not separated
uniform,f1_at_tau,AlignSSL-pretrained,0.5,10508,3,0.8861,0.8595,0.0267,0.0332,1.394,0.298,0.1027,-0.0557,0.1091,1.0,not separated
uniform,f1_at_tau,AlignSSL-pretrained,1.0,21016,3,0.9038,0.8342,0.0695,0.0957,1.258,0.3353,0.2964,-0.1682,0.3073,1.0,not separated
uniform,f1_at_tau,AlignSSL-scratch,0.01,210,3,0.4131,0.4791,-0.066,0.0877,-1.303,0.3223,0.2716,-0.2839,0.1519,1.0,not separated
uniform,f1_at_tau,AlignSSL-scratch,0.05,1051,3,0.7966,0.5908,0.2058,0.0683,5.218,0.03482,0.2115,0.0361,0.3754,0.3312,not separated
uniform,f1_at_tau,AlignSSL-scratch,0.1,2102,3,0.8518,0.6646,0.1872,0.0354,9.153,0.01173,0.1097,0.0992,0.2752,0.1407,not separated
uniform,f1_at_tau,AlignSSL-scratch,0.25,5254,3,0.8769,0.7154,0.1615,0.2021,1.384,0.3005,0.6258,-0.3405,0.6636,1.0,not separated
uniform,f1_at_tau,AlignSSL-scratch,0.5,10508,3,0.93,0.8595,0.0705,0.0193,6.328,0.02407,0.0597,0.0226,0.1184,0.2648,not separated
uniform,f1_at_tau,AlignSSL-scratch,1.0,21016,3,0.9354,0.8342,0.1012,0.0618,2.837,0.105,0.1912,-0.0522,0.2546,0.84,not separated
candidate-filtered,auprc,AlignSSL-pretrained,0.01,35,3,0.3023,0.3297,-0.0274,0.03,-1.582,0.2544,0.0928,-0.1019,0.0471,1.0,not separated
candidate-filtered,auprc,AlignSSL-pretrained,0.05,173,3,0.3683,0.411,-0.0427,0.0929,-0.7959,0.5096,0.2878,-0.2736,0.1882,1.0,not separated
candidate-filtered,auprc,AlignSSL-pretrained,0.1,345,3,0.4462,0.4188,0.0274,0.0422,1.123,0.3782,0.1308,-0.0776,0.1323,1.0,not separated
candidate-filtered,auprc,AlignSSL-pretrained,0.25,863,3,0.6494,0.5108,0.1386,0.0665,3.608,0.06896,0.206,-0.0267,0.3038,0.4827,not separated
candidate-filtered,auprc,AlignSSL-pretrained,0.5,1726,3,0.722,0.5376,0.1844,0.05,6.383,0.02368,0.155,0.0601,0.3088,0.1894,not separated
candidate-filtered,auprc,AlignSSL-pretrained,1.0,3452,3,0.8438,0.6562,0.1877,0.0358,9.09,0.01189,0.1107,0.0988,0.2765,0.1189,not separated
candidate-filtered,auprc,AlignSSL-scratch,0.01,35,3,0.2833,0.3297,-0.0463,0.0544,-1.475,0.2783,0.1686,-0.1816,0.0889,1.0,not separated
candidate-filtered,auprc,AlignSSL-scratch,0.05,173,3,0.3593,0.411,-0.0517,0.1043,-0.8586,0.481,0.3229,-0.3107,0.2073,1.0,not separated
candidate-filtered,auprc,AlignSSL-scratch,0.1,345,3,0.5096,0.4188,0.0908,0.1292,1.217,0.3478,0.4001,-0.2302,0.4118,1.0,not separated
candidate-filtered,auprc,AlignSSL-scratch,0.25,863,3,0.7342,0.5108,0.2234,0.0223,17.31,0.00332,0.0692,0.1678,0.2789,0.03984,AlignSSL better
candidate-filtered,auprc,AlignSSL-scratch,0.5,1726,3,0.763,0.5376,0.2254,0.0513,7.605,0.01686,0.159,0.0979,0.3529,0.1517,not separated
candidate-filtered,auprc,AlignSSL-scratch,1.0,3452,3,0.8849,0.6562,0.2287,0.0247,16.05,0.00386,0.0764,0.1674,0.29,0.04246,AlignSSL better
candidate-filtered,roc_auc,AlignSSL-pretrained,0.01,35,3,0.5634,0.5934,-0.03,0.0419,-1.239,0.341,0.1298,-0.1342,0.0742,1.0,not separated
candidate-filtered,roc_auc,AlignSSL-pretrained,0.05,173,3,0.6459,0.6638,-0.0179,0.0887,-0.3498,0.7599,0.2748,-0.2384,0.2025,1.0,not separated
candidate-filtered,roc_auc,AlignSSL-pretrained,0.1,345,3,0.7157,0.6663,0.0494,0.0495,1.728,0.226,0.1533,-0.0736,0.1724,1.0,not separated
candidate-filtered,roc_auc,AlignSSL-pretrained,0.25,863,3,0.829,0.7226,0.1064,0.0563,3.271,0.08212,0.1745,-0.0336,0.2464,0.5748,not separated
candidate-filtered,roc_auc,AlignSSL-pretrained,0.5,1726,3,0.8635,0.7341,0.1294,0.0312,7.188,0.01881,0.0965,0.0519,0.2068,0.1693,not separated
candidate-filtered,roc_auc,AlignSSL-pretrained,1.0,3452,3,0.9277,0.8223,0.1054,0.0398,4.586,0.0444,0.1233,0.0065,0.2043,0.3552,not separated
candidate-filtered,roc_auc,AlignSSL-scratch,0.01,35,3,0.5746,0.5934,-0.0188,0.1061,-0.3064,0.7883,0.3284,-0.2822,0.2447,1.0,not separated
candidate-filtered,roc_auc,AlignSSL-scratch,0.05,173,3,0.6204,0.6638,-0.0434,0.091,-0.826,0.4957,0.2819,-0.2696,0.1827,1.0,not separated
candidate-filtered,roc_auc,AlignSSL-scratch,0.1,345,3,0.7315,0.6663,0.0653,0.0763,1.481,0.2768,0.2363,-0.1243,0.2549,1.0,not separated
candidate-filtered,roc_auc,AlignSSL-scratch,0.25,863,3,0.8724,0.7226,0.1497,0.0292,8.896,0.0124,0.0903,0.0773,0.2222,0.124,not separated
candidate-filtered,roc_auc,AlignSSL-scratch,0.5,1726,3,0.8896,0.7341,0.1555,0.0163,16.54,0.003636,0.0504,0.115,0.1959,0.03999,AlignSSL better
candidate-filtered,roc_auc,AlignSSL-scratch,1.0,3452,3,0.9424,0.8223,0.1201,0.0105,19.72,0.00256,0.0327,0.0939,0.1463,0.03073,AlignSSL better
candidate-filtered,f1_at_tau,AlignSSL-pretrained,0.01,35,3,0.2405,0.1711,0.0695,0.06,2.005,0.1829,0.1859,-0.0796,0.2186,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-pretrained,0.05,173,3,0.3879,0.3803,0.0076,0.194,0.06777,0.9521,0.6007,-0.4743,0.4895,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-pretrained,0.1,345,3,0.4139,0.4134,0.0005,0.0892,0.009202,0.9935,0.2761,-0.221,0.222,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-pretrained,0.25,863,3,0.58,0.4763,0.1037,0.0788,2.28,0.1502,0.244,-0.092,0.2994,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-pretrained,0.5,1726,3,0.6484,0.5014,0.1469,0.0542,4.694,0.04251,0.1679,0.0122,0.2816,0.3741,not separated
candidate-filtered,f1_at_tau,AlignSSL-pretrained,1.0,3452,3,0.7719,0.6144,0.1575,0.0574,4.751,0.04156,0.1778,0.0149,0.3002,0.3741,not separated
candidate-filtered,f1_at_tau,AlignSSL-scratch,0.01,35,3,0.0084,0.1711,-0.1627,0.1428,-1.973,0.1872,0.4421,-0.5173,0.192,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-scratch,0.05,173,3,0.4297,0.3803,0.0494,0.1074,0.7962,0.5094,0.3324,-0.2173,0.3161,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-scratch,0.1,345,3,0.5005,0.4134,0.0871,0.0684,2.204,0.1584,0.2119,-0.0829,0.2571,1.0,not separated
candidate-filtered,f1_at_tau,AlignSSL-scratch,0.25,863,3,0.6434,0.4763,0.1671,0.0344,8.402,0.01387,0.1067,0.0815,0.2527,0.1387,not separated
candidate-filtered,f1_at_tau,AlignSSL-scratch,0.5,1726,3,0.6649,0.5014,0.1634,0.019,14.9,0.004475,0.0588,0.1162,0.2107,0.04923,AlignSSL better
candidate-filtered,f1_at_tau,AlignSSL-scratch,1.0,3452,3,0.8144,0.6144,0.2,0.0102,33.93,0.0008675,0.0316,0.1746,0.2254,0.01041,AlignSSL better
