feature,auc_uniform_1000G,auc_candfilt_1000G,auc_candfilt_GIAB_HG002,delta_candfilt_1000G_vs_uniform,delta_candfilt_GIAB_vs_candfilt_1000G,is_matched_axis
depth_centre_flank_ratio,0.9554,0.7168,0.6561,-0.2386,-0.0607,yes
clip_rate,0.8023,0.6296,0.8002,-0.1727,+0.1706,no
discordant_rate,0.7323,0.6073,0.6143,-0.1250,+0.0070,no
isize_absz_max,0.6943,0.5664,0.7055,-0.1279,+0.1391,no
depth_sd,0.6862,0.5416,0.7407,-0.1446,+0.1991,no
depth_max_drop,0.6796,0.5747,0.7418,-0.1049,+0.1671,no
isize_absz_mean,0.6779,0.5584,0.7263,-0.1195,+0.1679,no
depth_min,0.6568,0.5973,0.6407,-0.0595,+0.0434,no
mapq_mean,0.5505,0.5584,0.6175,+0.0079,+0.0591,no
n_read_rows,0.5380,0.5082,0.5112,-0.0298,+0.0030,no
valid_frac,0.5171,0.5054,0.5335,-0.0117,+0.0281,no
depth_mean,0.5021,0.5170,0.5445,+0.0149,+0.0275,no
