label_frac,rule,site,pretrained_mean,pretrained_sd,scratch_mean,scratch_sd,gap_mean,gap_sd,n_seeds_pre,n_seeds_scratch,leader,t,p_raw,p_holm,survives_holm_0.05
0.01,f1_at_half,in_dist,0.4815,0.1188,0.0428,0.0409,,,3,3,pretrained,6.0503,0.015509,0.527314,False
0.01,f1_at_half,xpop,0.4938,0.1177,0.0797,0.0733,,,3,3,pretrained,5.1728,0.010627,0.37194,False
0.01,f1_at_tau,in_dist,0.4668,0.0578,0.4142,0.1144,,,3,3,pretrained,0.7113,0.52886,1.0,False
0.01,f1_at_tau,xpop,0.4927,0.0745,0.3945,0.0467,,,3,3,pretrained,1.9336,0.138724,1.0,False
0.01,auprc,in_dist,0.5218,0.0787,0.4245,0.1344,,,3,3,pretrained,1.0819,0.353437,1.0,False
0.01,auprc,xpop,0.5494,0.0995,0.3779,0.0499,,,3,3,pretrained,2.6683,0.077232,1.0,False
0.05,f1_at_half,in_dist,0.6438,0.0429,0.7283,0.1079,,,3,3,scratch,-1.2595,0.30847,1.0,False
0.05,f1_at_half,xpop,0.6226,0.0582,0.5522,0.0954,,,3,3,pretrained,1.0918,0.347993,1.0,False
0.05,f1_at_tau,in_dist,0.652,0.0274,0.7434,0.1065,,,3,3,scratch,-1.44,0.272663,1.0,False
0.05,f1_at_tau,xpop,0.6597,0.0708,0.5258,0.0831,,,3,3,pretrained,2.1238,0.102629,1.0,False
0.05,auprc,in_dist,0.731,0.0264,0.8416,0.08,,,3,3,scratch,-2.2745,0.128029,1.0,False
0.05,auprc,xpop,0.7252,0.0585,0.6841,0.1328,,,3,3,pretrained,0.4904,0.6603,1.0,False
0.1,f1_at_half,in_dist,0.7054,0.0665,0.7917,0.0142,,,3,3,scratch,-2.1964,0.148474,1.0,False
0.1,f1_at_half,xpop,0.7132,0.0382,0.6541,0.1237,,,3,3,pretrained,0.791,0.500187,1.0,False
0.1,f1_at_tau,in_dist,0.7427,0.033,0.8092,0.0117,,,3,3,scratch,-3.2918,0.05991,1.0,False
0.1,f1_at_tau,xpop,0.6876,0.0941,0.6635,0.108,,,3,3,pretrained,0.291,0.78574,1.0,False
0.1,auprc,in_dist,0.8329,0.0223,0.8877,0.0132,,,3,3,scratch,-3.6695,0.030675,0.981597,False
0.1,auprc,xpop,0.7957,0.0353,0.8359,0.026,,,3,3,scratch,-1.5903,0.193145,1.0,False
0.25,f1_at_half,in_dist,0.876,0.0114,0.8723,0.0454,,,3,3,pretrained,0.1355,0.903396,1.0,False
0.25,f1_at_half,xpop,0.719,0.0868,0.7143,0.1385,,,3,3,pretrained,0.0504,0.962681,1.0,False
0.25,f1_at_tau,in_dist,0.8698,0.01,0.904,0.0036,,,3,3,scratch,-5.5789,0.018168,0.599544,False
0.25,f1_at_tau,xpop,0.72,0.1074,0.7812,0.0547,,,3,3,scratch,-0.88,0.444184,1.0,False
0.25,auprc,in_dist,0.9403,0.0039,0.955,0.0038,,,3,3,scratch,-4.6892,0.009406,0.338625,False
0.25,auprc,xpop,0.8573,0.0347,0.9012,0.0147,,,3,3,scratch,-2.0188,0.147007,1.0,False
0.5,f1_at_half,in_dist,0.8716,0.0353,0.8842,0.0651,,,3,3,scratch,-0.296,0.786057,1.0,False
0.5,f1_at_half,xpop,0.693,0.0523,0.7092,0.1094,,,3,3,scratch,-0.2315,0.832443,1.0,False
0.5,f1_at_tau,in_dist,0.8967,0.0268,0.9041,0.0361,,,3,3,scratch,-0.2852,0.790741,1.0,False
0.5,f1_at_tau,xpop,0.6882,0.1251,0.6464,0.2048,,,3,3,pretrained,0.3017,0.780845,1.0,False
0.5,auprc,in_dist,0.9557,0.0086,0.9603,0.0251,,,3,3,scratch,-0.2993,0.788185,1.0,False
0.5,auprc,xpop,0.8889,0.0304,0.9028,0.0611,,,3,3,scratch,-0.3527,0.748089,1.0,False
1.0,f1_at_half,in_dist,0.8807,0.0339,0.8025,0.1233,,,3,3,pretrained,1.059,0.387971,1.0,False
1.0,f1_at_half,xpop,0.6672,0.0928,0.7155,0.162,,,3,3,scratch,-0.4486,0.682517,1.0,False
1.0,f1_at_tau,in_dist,0.9041,0.022,0.8394,0.0891,,,3,3,pretrained,1.2214,0.334732,1.0,False
1.0,f1_at_tau,xpop,0.6801,0.1818,0.8072,0.1423,,,3,3,scratch,-0.9527,0.397566,1.0,False
1.0,auprc,in_dist,0.9627,0.0052,0.9286,0.0518,,,3,3,pretrained,1.1325,0.372905,1.0,False
