rule,site,label_frac,n_splits,runs_per_split,sd_within_split,sd_between_split,sd_total,within_over_between,run_noise_share,mde_paired_n3
f1_at_half,in_dist,0.01,3,2,0.0434,0.0483,0.0649,0.898,0.447,0.201
f1_at_half,in_dist,0.05,3,2,0.0348,0.0884,0.095,0.393,0.134,0.2943
f1_at_half,in_dist,0.1,3,2,0.0663,0.0618,0.0906,1.073,0.535,0.2806
f1_at_half,in_dist,0.25,3,2,0.0399,0.0116,0.0415,3.445,0.922,0.1285
f1_at_half,in_dist,0.5,3,2,0.0426,0.0348,0.055,1.226,0.601,0.1703
f1_at_half,in_dist,1.0,3,2,0.0741,0.0867,0.1141,0.855,0.422,0.3532
f1_at_half,xpop,0.01,3,2,0.0638,0.1156,0.132,0.552,0.233,0.4088
f1_at_half,xpop,0.05,3,2,0.0311,0.0618,0.0692,0.503,0.202,0.2141
f1_at_half,xpop,0.1,3,2,0.047,0.0859,0.0979,0.547,0.23,0.3031
f1_at_half,xpop,0.25,3,2,0.1137,0.0339,0.1186,3.355,0.918,0.3673
f1_at_half,xpop,0.5,3,2,0.0786,0.0659,0.1026,1.192,0.587,0.3176
f1_at_half,xpop,1.0,3,2,0.0807,0.0941,0.124,0.858,0.424,0.3839
f1_at_tau,in_dist,0.01,3,2,0.0604,0.0518,0.0796,1.165,0.576,0.2464
f1_at_tau,in_dist,0.05,3,2,0.0407,0.0778,0.0878,0.523,0.215,0.2718
f1_at_tau,in_dist,0.1,3,2,0.0333,0.0078,0.0342,4.274,0.948,0.1059
f1_at_tau,in_dist,0.25,3,2,0.0208,0.018,0.0275,1.156,0.572,0.0851
f1_at_tau,in_dist,0.5,3,2,0.0254,0.0247,0.0354,1.03,0.515,0.1096
f1_at_tau,in_dist,1.0,3,2,0.0548,0.0603,0.0815,0.91,0.453,0.2523
f1_at_tau,xpop,0.01,3,2,0.0311,0.0141,0.0342,2.199,0.829,0.1058
f1_at_tau,xpop,0.05,3,2,0.0606,0.0339,0.0695,1.787,0.761,0.2152
f1_at_tau,xpop,0.1,3,2,0.0691,0.1203,0.1387,0.574,0.248,0.4295
f1_at_tau,xpop,0.25,3,2,0.0899,0.0629,0.1097,1.43,0.672,0.3398
f1_at_tau,xpop,0.5,3,2,0.0999,0.1655,0.1933,0.604,0.267,0.5986
f1_at_tau,xpop,1.0,3,2,0.1044,0.1024,0.1462,1.02,0.51,0.4529
auprc,in_dist,0.01,3,2,0.0347,0.1228,0.1276,0.283,0.074,0.3951
auprc,in_dist,0.05,3,2,0.0164,0.074,0.0758,0.222,0.047,0.2346
auprc,in_dist,0.1,3,2,0.0266,0.011,0.0287,2.424,0.855,0.089
auprc,in_dist,0.25,3,2,0.013,0.0082,0.0154,1.582,0.714,0.0478
auprc,in_dist,0.5,3,2,0.0161,0.0129,0.0206,1.249,0.609,0.0637
auprc,in_dist,1.0,3,2,0.028,0.0363,0.0458,0.771,0.373,0.142
auprc,xpop,0.01,3,2,0.0651,0.0467,0.0802,1.394,0.66,0.2482
auprc,xpop,0.05,3,2,0.0416,0.1232,0.1301,0.338,0.102,0.4028
auprc,xpop,0.1,3,2,0.0198,0.041,0.0455,0.483,0.189,0.1409
auprc,xpop,0.25,3,2,0.024,0.0294,0.038,0.815,0.399,0.1176
auprc,xpop,0.5,3,2,0.0398,0.0366,0.0541,1.09,0.543,0.1675
auprc,xpop,1.0,3,2,0.0367,0.0327,0.0491,1.122,0.557,0.1522
