length_bin_bp,n_test,arm,n_seeds,recall_mean,recall_sd,recall_per_seed
50-200,645,AlignSSL-combined,4,0.9186,0.0255,0.9612;0.9132;0.8946;0.9054
50-200,645,AlignSSL-scratch,4,0.9171,0.0169,0.9209;0.8977;0.9426;0.9070
50-200,645,DeepSV-representation,3,0.9416,0.0585,0.9860;0.9798;0.8589
200-500,281,AlignSSL-combined,4,0.9128,0.0179,0.9359;0.9181;0.9110;0.8861
200-500,281,AlignSSL-scratch,4,0.9030,0.0248,0.9146;0.8648;0.9324;0.9004
200-500,281,DeepSV-representation,3,0.8410,0.1650,0.9395;0.9751;0.6085
500-1000,329,AlignSSL-combined,4,0.9293,0.0076,0.9301;0.9392;0.9301;0.9179
500-1000,329,AlignSSL-scratch,4,0.9384,0.0140,0.9331;0.9179;0.9514;0.9514
500-1000,329,DeepSV-representation,3,0.8501,0.1930,0.9726;1.0000;0.5775
1000-5000,799,AlignSSL-combined,4,0.9262,0.0239,0.9011;0.9574;0.9412;0.9049
1000-5000,799,AlignSSL-scratch,4,0.9537,0.0064,0.9625;0.9562;0.9512;0.9449
1000-5000,799,DeepSV-representation,3,0.8995,0.1162,0.9675;0.9950;0.7359
5000-1000000000,245,AlignSSL-combined,4,0.8571,0.0609,0.7592;0.9061;0.9102;0.8531
5000-1000000000,245,AlignSSL-scratch,4,0.8806,0.0710,0.9102;0.9388;0.9143;0.7592
5000-1000000000,245,DeepSV-representation,3,0.9184,0.0698,0.9388;0.9918;0.8245
