label_frac,n_train,objective,n_pretrain_seeds,F1_mean,F1_sd,F1_per_seed
0.01,210,MAM-only,3,0.5880,0.1174,0.4221;0.6773;0.6646
0.05,1050,MAM-only,3,0.7626,0.0603,0.6884;0.7631;0.8362
0.1,2101,MAM-only,3,0.8300,0.0682,0.8811;0.8753;0.7336
0.25,5254,MAM-only,3,0.7979,0.0828,0.8981;0.6952;0.8004
0.5,10508,MAM-only,3,0.7987,0.1065,0.6683;0.9293;0.7984
1.0,21016,MAM-only,3,0.9154,0.0143,0.9007;0.9107;0.9348
0.01,210,VICReg-only,3,0.5543,0.0350,0.5227;0.6031;0.5372
0.05,1050,VICReg-only,3,0.6654,0.0365,0.6651;0.7103;0.6208
0.1,2101,VICReg-only,3,0.7679,0.0285,0.7533;0.8077;0.7427
0.25,5254,VICReg-only,3,0.8455,0.0742,0.9044;0.7408;0.8912
0.5,10508,VICReg-only,3,0.9028,0.0110,0.9179;0.8987;0.8918
1.0,21016,VICReg-only,3,0.8458,0.0635,0.7894;0.8135;0.9346
0.01,210,combined,4,0.5144,0.0551,0.5315;0.5081;0.5858;0.4324
0.05,1050,combined,4,0.6552,0.0347,0.6334;0.6695;0.7043;0.6135
0.1,2101,combined,4,0.8129,0.0072,0.8058;0.8142;0.8073;0.8241
0.25,5254,combined,4,0.8465,0.0641,0.8685;0.7391;0.8697;0.9086
0.5,10508,combined,4,0.9126,0.0142,0.9234;0.8971;0.9002;0.9299
1.0,21016,combined,4,0.9337,0.0038,0.9278;0.9348;0.9383;0.9338
