feature,n_test,n_pos,auc,auc_oriented,deletion_side
depth_centre_flank_ratio,9196,2299,0.0446,0.9554,low
clip_rate,9196,2299,0.8023,0.8023,high
discordant_rate,9196,2299,0.7323,0.7323,high
isize_absz_max,9196,2299,0.6943,0.6943,high
depth_sd,9196,2299,0.6862,0.6862,high
depth_max_drop,9196,2299,0.6796,0.6796,high
isize_absz_mean,9196,2299,0.6779,0.6779,high
depth_min,9196,2299,0.3432,0.6568,low
mapq_mean,9196,2299,0.4495,0.5505,low
n_read_rows,9196,2299,0.538,0.538,high
valid_frac,9196,2299,0.5171,0.5171,high
depth_mean,9196,2299,0.5021,0.5021,high
