label_frac,n_train,arm,n_seeds,F1_mean,F1_sd,P_mean,R_mean,AUPRC_mean,F1_per_seed
0.01,96,AlignSSL-combined,3,0.3521,0.0640,0.3166,0.4529,0.3244,0.4187;0.3720;0.2657
0.05,172,AlignSSL-combined,3,0.3249,0.1274,0.4714,0.3483,0.3906,0.3964;0.1459;0.4324
0.1,345,AlignSSL-combined,3,0.4576,0.0560,0.4668,0.4653,0.4648,0.3879;0.5250;0.4600
0.25,863,AlignSSL-combined,3,0.4952,0.1366,0.6042,0.5057,0.6530,0.3074;0.6284;0.5497
0.5,1726,AlignSSL-combined,3,0.6468,0.0783,0.8347,0.5321,0.7956,0.5445;0.7346;0.6612
1.0,3452,AlignSSL-combined,3,0.7616,0.1095,0.7386,0.8171,0.8413,0.6089;0.8602;0.8158
0.01,96,AlignSSL-scratch,3,0.0000,0.0000,0.0000,0.0000,0.2375,0.0000;0.0000;0.0000
0.05,172,AlignSSL-scratch,3,0.0000,0.0000,0.0000,0.0000,0.3526,0.0000;0.0000;0.0000
0.1,345,AlignSSL-scratch,3,0.4146,0.1299,0.7731,0.3105,0.6557,0.5032;0.5096;0.2309
0.25,863,AlignSSL-scratch,3,0.6697,0.0304,0.8212,0.5664,0.7844,0.6989;0.6278;0.6822
0.5,1726,AlignSSL-scratch,3,0.7041,0.0205,0.8212,0.6192,0.8163,0.6997;0.7311;0.6815
1.0,3452,AlignSSL-scratch,3,0.7024,0.0855,0.7459,0.7546,0.8523,0.6743;0.6146;0.8183
0.01,96,DeepSV-representation,3,0.2333,0.1718,0.2307,0.4028,,0.4087;0.0000;0.2912
0.05,172,DeepSV-representation,3,0.2606,0.0927,0.4255,0.2339,,0.3658;0.1402;0.2760
0.1,345,DeepSV-representation,3,0.4296,0.0205,0.4607,0.4556,,0.4335;0.4029;0.4525
0.25,863,DeepSV-representation,3,0.2805,0.1769,0.6435,0.2348,,0.4218;0.3887;0.0311
0.5,1726,DeepSV-representation,3,0.3670,0.2488,0.7132,0.4028,,0.0157;0.5256;0.5595
1.0,3452,DeepSV-representation,3,0.2845,0.1311,0.9007,0.1794,,0.2238;0.4665;0.1631
0.01,96,Classical-logreg,3,0.4914,0.0281,0.5198,0.5154,0.4800,0.4518;0.5074;0.5149
0.05,172,Classical-logreg,3,0.5805,0.0022,0.5343,0.6359,0.5984,0.5836;0.5789;0.5789
0.1,345,Classical-logreg,3,0.5831,0.0137,0.5367,0.6385,0.5895,0.5865;0.5979;0.5649
0.25,863,Classical-logreg,3,0.5990,0.0172,0.5480,0.6640,0.6173,0.5747;0.6124;0.6099
0.5,1726,Classical-logreg,3,0.6001,0.0055,0.5568,0.6508,0.6284,0.5923;0.6031;0.6048
1.0,3452,Classical-logreg,3,0.6066,0.0000,0.5505,0.6755,0.6326,0.6066;0.6066;0.6066
0.01,96,Classical-GBT,3,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000;0.0000;0.0000
0.05,172,Classical-GBT,3,0.5656,0.0448,0.6464,0.5145,0.6644,0.5217;0.5481;0.6271
0.1,345,Classical-GBT,3,0.6509,0.0253,0.7300,0.5945,0.7507,0.6154;0.6646;0.6728
0.25,863,Classical-GBT,3,0.7139,0.0062,0.7372,0.6931,0.8050,0.7219;0.7130;0.7067
0.5,1726,Classical-GBT,3,0.7495,0.0139,0.8168,0.6931,0.8466,0.7339;0.7468;0.7677
1.0,3452,Classical-GBT,3,0.7910,0.0000,0.8511,0.7388,0.8749,0.7910;0.7910;0.7910
