label_frac,arm,uniform_F1_mean,uniform_rank,hardneg_F1_mean,hardneg_rank,rank_change
0.01,AlignSSL-combined,0.5144,3,0.3521,2,1
0.01,AlignSSL-scratch,0.0497,5,0.0000,5,0
0.01,DeepSV-representation,0.4345,4,0.2333,3,1
0.01,Classical-logreg,0.8766,2,0.4914,1,1
0.01,Classical-GBT,0.8942,1,0.0000,4,-3
0.05,AlignSSL-combined,0.6552,4,0.3249,3,1
0.05,AlignSSL-scratch,0.7338,3,0.0000,5,-2
0.05,DeepSV-representation,0.5908,5,0.2606,4,1
0.05,Classical-logreg,0.8778,2,0.5805,1,1
0.05,Classical-GBT,0.9167,1,0.5656,2,-1
0.1,AlignSSL-combined,0.8129,3,0.4576,3,0
0.1,AlignSSL-scratch,0.7631,4,0.4146,5,-1
0.1,DeepSV-representation,0.6619,5,0.4296,4,1
0.1,Classical-logreg,0.8693,2,0.5831,2,0
0.1,Classical-GBT,0.9243,1,0.6509,1,0
0.25,AlignSSL-combined,0.8465,4,0.4952,4,0
0.25,AlignSSL-scratch,0.8543,3,0.6697,2,1
0.25,DeepSV-representation,0.8340,5,0.2805,5,0
0.25,Classical-logreg,0.8661,2,0.5990,3,-1
0.25,Classical-GBT,0.9315,1,0.7139,1,0
0.5,AlignSSL-combined,0.9126,2,0.6468,3,-1
0.5,AlignSSL-scratch,0.9118,3,0.7041,2,1
0.5,DeepSV-representation,0.8559,5,0.3670,5,0
0.5,Classical-logreg,0.8717,4,0.6001,4,0
0.5,Classical-GBT,0.9372,1,0.7495,1,0
1.0,AlignSSL-combined,0.9337,3,0.7616,2,1
1.0,AlignSSL-scratch,0.9441,1,0.7024,3,-2
1.0,DeepSV-representation,0.7070,5,0.2845,5,0
1.0,Classical-logreg,0.8712,4,0.6066,4,0
1.0,Classical-GBT,0.9387,2,0.7910,1,1
